,Average User Rating,User Rating Count,Price,Developer,Age Rating,Languages,Size,Primary Genre,Genres,game_age
0,4.0,3553.0,2.99,4.003122123350721,4,218.79479687080442,15853568,4.034268849726357,75.5861924569405,3245
1,3.5,284.0,1.99,3.5,4,7.232519398050206,12328960,4.034268849726357,72.61289717651596,3597
2,3.0,8376.0,0.0,3.75,4,7.232519398050206,674816,4.034268849726357,72.61289717651596,3343
3,3.5,190394.0,0.0,4.003122123350721,4,218.79479687080442,21552128,4.034268849726357,75.5861924569405,3233
4,3.5,28.0,2.99,3.5,4,193.37641923120557,34689024,4.034268849726357,108.11000382818521,3656
5,3.0,47.0,0.0,3.75,4,7.232519398050206,48672768,4.034268849726357,124.64153943461565,3925
7,2.5,125.0,0.99,3.265610616753605,4,7.232519398050206,64333824,4.034268849726357,72.61289717651596,3713
8,2.5,44.0,0.0,3.265610616753605,4,6.478374447881485,2657280,4.034268849726357,121.66824415419111,3399
9,2.5,184.0,0.0,2.5,4,7.232519398050206,1466515,4.034268849726357,76.04903832580754,0
10,4.03122123350721,3581.406259588831,0.0,4.03122123350721,4,7.232519398050206,3089867,4.034268849726357,124.64153943461565,50
11,3.5,5072.0,0.0,3.5,4,7.232519398050206,7086403,4.034268849726357,75.5861924569405,96
12,3.0,526.0,0.0,4.0,4,7.232519398050206,845008,4.034268849726357,98.8335663760135,337
13,3.5,989.0,0.99,3.5,4,7.232519398050206,3643392,4.034268849726357,75.5861924569405,3902
14,2.5,2358.0,0.0,3.0,4,7.232519398050206,731525,4.034268849726357,124.64153943461565,55
15,3.0,112.0,0.0,3.0,4,60.313681775517566,122826752,4.034268849726357,72.61289717651596,2409
16,3.0,112.0,0.0,3.0,4,60.313681775517566,122826752,4.034268849726357,72.61289717651596,2409
17,3.0,504.0,0.0,3.0,4,7.232519398050206,444163,4.034268849726357,72.61289717651596,400
18,3.5,95971.0,0.0,3.5,4,7.232519398050206,26820692,4.034268849726357,75.5861924569405,1527
19,3.5,357.0,0.0,3.5,4,7.232519398050206,52236288,4.034268849726357,124.64153943461565,3866
20,3.0,7.0,0.99,3.0,4,7.232519398050206,1530880,4.034268849726357,121.66824415419111,2959
21,2.0,30.0,0.99,2.0,9,7.232519398050206,4341760,3.920387374295861,125.10438530348273,3825
22,4.03122123350721,3581.406259588831,0.0,3.265610616753605,4,20.19307571641385,1190912,4.034268849726357,111.08329910860976,3084
23,4.03122123350721,3581.406259588831,0.99,4.03122123350721,4,20.19307571641385,8806400,4.034268849726357,121.66824415419111,3737
24,4.0,637.0,0.99,4.0,4,7.232519398050206,22873088,4.034268849726357,124.64153943461565,3147
25,3.5,1563.0,0.0,3.5,4,7.232519398050206,6550985,4.034268849726357,75.5861924569405,0
26,4.0,41869.0,2.99,4.3,9,7.232519398050206,75041792,4.034268849726357,124.40702874228501,3475
27,3.5,72428.0,0.0,3.5,9,7.232519398050206,55071744,4.034268849726357,121.66824415419111,3760
28,2.5,190.0,0.99,2.5,4,100.64696492204172,4357120,4.034268849726357,121.66824415419111,3874
29,2.5,69.0,2.99,2.5,4,7.232519398050206,44329984,4.034268849726357,118.43837124168752,2953
30,4.0,523.0,2.99,4.003122123350721,4,218.79479687080442,9543680,4.034268849726357,124.64153943461565,3143
31,3.5,23.0,0.0,3.5,4,7.232519398050206,1298432,4.034268849726357,69.38302426401233,2435
32,4.0,156.0,5.99,4.0,4,60.313681775517566,1751040,4.034268849726357,121.66824415419111,2827
33,4.0,3062.0,7.99,3.375,4,73.37794583982316,7517184,4.034268849726357,121.66824415419111,3805
34,3.5,2425.0,0.99,3.5,4,7.232519398050206,9641984,4.034268849726357,75.5861924569405,2138
35,3.5,518.0,2.99,4.003122123350721,4,218.79479687080442,15837184,4.034268849726357,124.64153943461565,3119
36,3.5,5488.0,0.99,3.375,4,73.37794583982316,5874688,4.034268849726357,121.66824415419111,3795
37,2.5,3521.0,0.0,2.5,4,7.232519398050206,9402423,4.034268849726357,72.61289717651596,0
38,3.5,273687.0,0.0,3.5,9,7.232519398050206,7774384,4.034268849726357,137.5377557642258,1472
39,3.0,67.0,0.99,3.25,4,7.232519398050206,12423168,4.034268849726357,72.61289717651596,2227
40,3.5,5931.0,0.0,3.5,9,7.232519398050206,7705600,4.034268849726357,124.40702874228501,3850
41,4.0,2798.0,1.99,3.75,4,7.232519398050206,15547392,4.034268849726357,121.66824415419111,3112
42,4.0,16.0,2.99,3.812488493402884,4,20.441719993846203,3940352,4.034268849726357,72.61289717651596,2479
43,4.0,483.0,7.99,4.0,4,7.232519398050206,99019776,4.034268849726357,72.61289717651596,2606
44,3.0,75.0,2.99,3.5967248206432005,4,7.232519398050206,5731328,4.034268849726357,124.64153943461565,3181
45,4.0,5629.0,4.99,3.5,9,139.73412929298638,93993984,4.034268849726357,121.66824415419111,3749
46,3.0,2482.0,0.99,3.0,4,20.653067069417325,14894080,4.034268849726357,72.61289717651596,3225
47,3.5,77.0,0.99,3.1666666666666665,4,46.73971485967424,5044648,4.034268849726357,111.08329910860976,270
48,3.0,1461.0,0.0,3.1666666666666665,4,20.569957945514595,2584622,4.034268849726357,75.5861924569405,237
49,4.0,75.0,4.99,3.812488493402884,4,20.441719993846203,18432000,4.034268849726357,72.61289717651596,2439
50,2.5,1741.0,0.0,2.5,4,7.232519398050206,2323719,4.034268849726357,118.43837124168752,942
51,2.5,6.0,0.0,3.265610616753605,4,7.232519398050206,1112393,4.034268849726357,75.5861924569405,0
52,3.0,740.0,0.99,2.75,9,7.232519398050206,15541248,4.034268849726357,117.6728750379478,2712
53,3.0,89.0,0.99,3.0,4,7.232519398050206,16785408,4.034268849726357,118.06467370759196,3545
54,3.0,187.0,0.0,3.2578053083768026,9,7.232519398050206,25563136,4.034268849726357,137.5377557642258,2347
55,4.0,413.0,2.99,4.0,4,7.232519398050206,5106688,4.034268849726357,124.64153943461565,3396
56,4.03122123350721,3581.406259588831,3.99,3.812488493402884,4,20.441719993846203,29797376,4.034268849726357,72.61289717651596,2648
57,4.03122123350721,3581.406259588831,3.99,3.812488493402884,4,20.441719993846203,29797376,4.034268849726357,72.61289717651596,2648
